class,DTPM_mean,DTPM_std,DTPM_min,DTPM_max,DTPM_count,DGPM_mean,DGPM_std,DGPM_min,DGPM_max,DGPM_count,GF_mean,GF_std,GF_min,GF_max,GF_count,AKM2_mean,AKM2_std,AKM2_min,AKM2_max,AKM2_count,MSAN_mean,MSAN_std,MSAN_min,MSAN_max,MSAN_count,MXSAN_mean,MXSAN_std,MXSAN_min,MXSAN_max,MXSAN_count
ANA_A01,23.15029237434497,5.222205186897299,14.996305724025852,29.73519848446641,25,0.16709124578857465,0.019092122637118816,0.13560426446081073,0.2128803596728467,25,0.007577197702801947,0.0018548688148544493,0.005348276077548903,0.010777414497095857,25,0.7242259752680893,0.28551454179789537,0.030498284999999393,0.9999800001002142,25,12.162317114908205,1.2405760767177882,10.811912400900331,13.835438958979207,25,24.28,3.272613634390715,21,29,25
AND_A01,27.331936060900226,9.49245580760221,12.788094918310266,48.894521451274606,45,0.6291301742628309,0.3362193745823335,0.19532957950586274,1.7115289143495693,45,0.025389292561286695,0.017920449120485685,0.010253445597956198,0.08182119363903435,45,0.6669964918800237,0.3154111943207527,0.24997750020003726,1.0014302662006922,45,7.251537420529614,2.432412163067737,4.649903271557287,10.878116002660548,45,15.488888888888889,3.2656770300576983,12,20,45
ANTL5770C8970_cleaned.laz,21.705439600452845,,21.705439600452845,21.705439600452845,1,0.3823095135127198,,0.3823095135127198,0.3823095135127198,1,0.017613534696839017,,0.017613534696839017,0.017613534696839017,1,0.7502899872002701,,0.7502899872002701,0.7502899872002701,1,2.5335303321864147,,2.5335303321864147,2.5335303321864147,1,10.0,,10,10,1
ANTL5770C8971_cleaned.laz,21.046605096727347,,21.046605096727347,21.046605096727347,1,0.4032361201186062,,0.4032361201186062,0.4032361201186062,1,0.019159200178146908,,0.019159200178146908,0.019159200178146908,1,1.0002700151994364,,1.0002700151994364,1.0002700151994364,1,2.607697035115613,,2.607697035115613,2.607697035115613,1,10.0,,10,10,1
ANTL5770C8972_cleaned.laz,21.430937511344712,,21.430937511344712,21.430937511344712,1,0.35205801135359743,,0.35205801135359743,0.35205801135359743,1,0.016427559978056557,,0.016427559978056557,0.016427559978056557,1,0.7507200275995064,,0.7507200275995064,0.7507200275995064,1,2.5543527809756874,,2.5543527809756874,2.5543527809756874,1,14.0,,14,14,1
ANTL5780C8970_cleaned.laz,22.32155725965291,,22.32155725965291,22.32155725965291,1,0.4033024077461044,,0.4033024077461044,0.4033024077461044,1,0.01806784370170666,,0.01806784370170666,0.01806784370170666,1,0.7503600132001025,,0.7503600132001025,0.7503600132001025,1,2.4979161397759557,,2.4979161397759557,2.4979161397759557,1,9.0,,9,9,1
ANTL5780C8971_cleaned.laz,22.413215540007503,,22.413215540007503,22.413215540007503,1,0.466132150053496,,0.466132150053496,0.466132150053496,1,0.02079720106298233,,0.02079720106298233,0.02079720106298233,1,1.00030002209993,,1.00030002209993,1.00030002209993,1,2.6477584685775253,,2.6477584685775253,2.6477584685775253,1,10.0,,10,10,1
ANTL5780C8972_cleaned.laz,22.78623963915762,,22.78623963915762,22.78623963915762,1,0.4954729419094444,,0.4954729419094444,0.4954729419094444,1,0.02174439265783836,,0.02174439265783836,0.02174439265783836,1,0.750767536500482,,0.750767536500482,0.750767536500482,1,2.5153488575462135,,2.5153488575462135,2.5153488575462135,1,9.0,,9,9,1
ANTL5790C8970_cleaned.laz,21.01223039578423,,21.01223039578423,21.01223039578423,1,0.43999999132133377,,0.43999999132133377,0.43999999132133377,1,0.020940184979582787,,0.020940184979582787,0.020940184979582787,1,0.750400014801071,,0.750400014801071,0.750400014801071,1,2.486071798725207,,2.486071798725207,2.486071798725207,1,9.0,,9,9,1
ANTL5790C8971_cleaned.laz,21.429839248744496,,21.429839248744496,21.429839248744496,1,0.40881479074248084,,0.40881479074248084,0.40881479074248084,1,0.01907689488461431,,0.01907689488461431,0.01907689488461431,1,1.0002500135998835,,1.0002500135998835,1.0002500135998835,1,2.5800792500297525,,2.5800792500297525,2.5800792500297525,1,11.0,,11,11,1
ANTL5790C8972_cleaned.laz,22.185598532966043,,22.185598532966043,22.185598532966043,1,0.4417752010717319,,0.4417752010717319,0.4417752010717319,1,0.01991270149485888,,0.01991270149485888,0.01991270149485888,1,0.7508275683997521,,0.7508275683997521,0.7508275683997521,1,2.5197030369215563,,2.5197030369215563,2.5197030369215563,1,9.0,,9,9,1
ANTL5800C8970_cleaned.laz,21.016018158510338,,21.016018158510338,21.016018158510338,1,0.4208121140072702,,0.4208121140072702,0.4208121140072702,1,0.020023398858592265,,0.020023398858592265,0.020023398858592265,1,0.7503800139996554,,0.7503800139996554,0.7503800139996554,1,2.550935764109068,,2.550935764109068,2.550935764109068,1,13.0,,13,13,1
ANTL5800C8971_cleaned.laz,20.54818871628484,,20.54818871628484,20.54818871628484,1,0.3836160725726864,,0.3836160725726864,0.3836160725726864,1,0.01866909428706303,,0.01866909428706303,0.01866909428706303,1,1.0003100168001722,,1.0003100168001722,1.0003100168001722,1,2.602257581882443,,2.602257581882443,2.602257581882443,1,11.0,,11,11,1
ANTL5800C8972_cleaned.laz,21.91077464594065,,21.91077464594065,21.91077464594065,1,0.40584394197296814,,0.40584394197296814,0.40584394197296814,1,0.018522573872035958,,0.018522573872035958,0.018522573872035958,1,0.7506949556001816,,0.7506949556001816,0.7506949556001816,1,2.485146496527181,,2.485146496527181,2.485146496527181,1,10.0,,10,10,1
ANT_A01,21.650553695464463,0.6852791331657604,20.54818871628484,22.78623963915762,12,0.4169477713652033,0.03911891254501572,0.35205801135359743,0.4954729419094444,12,0.019246215054359753,0.001521249138912975,0.016427559978056557,0.02174439265783836,12,0.8337975154167037,0.12295744489921244,0.7502899872002701,1.0003100168001722,12,2.548399795197718,0.05214120217593878,2.485146496527181,2.6477584685775253,12,10.416666666666666,1.6213537179739277,9,14,12
BA3_A01,18.330073059599,3.976485092424726,11.328260146335976,25.286714773203894,12,0.3025191534771157,0.07044719935544191,0.17281149653122302,0.4235097821918941,12,0.01694631809206541,0.004330395384602744,0.00954795444787471,0.025572814529659336,12,0.3038790089502836,0.3239146538416587,0.001934256800010674,1.002271281000718,12,0.0,0.0,0.0,0.0,12,0.0,0.0,0,0,12
BA3_A02,28.492482149123365,5.5849091992502755,22.433367987089284,46.35366402154702,16,0.5739923824436511,0.28407014664753727,0.2835467138186334,1.201065853248009,16,0.020057655182520208,0.009081044320902457,0.010961295352398346,0.04125535937210212,16,0.20775137678734426,0.11086806274848249,0.012445921000012981,0.32340699299957815,16,0.0,0.0,0.0,0.0,16,0.0,0.0,0,0,16
BAR_A01,38.89294025183909,17.586149951662527,7.766224728187352,78.40172361989669,17,0.8274737168166336,0.6051945185840322,0.35765919048373623,2.408218723659332,17,0.044044016575455196,0.08244093013019672,0.009868375421817331,0.3100887249526468,17,0.45557388379985897,0.47297769808676215,0.011365532099897342,1.0026617624999161,17,0.0,0.0,0.0,0.0,17,0.0,0.0,0,0,17
BON_A01,20.251208084967224,7.351329304485398,10.46433831930826,36.590359803529196,27,0.286515091755279,0.15229660288280925,0.0836019175354806,0.5918393036054087,27,0.014662890888898175,0.007415153262691287,0.005924683148282616,0.03589700593108653,27,0.5829691309519075,0.38944637496650913,0.0029550130000439096,0.9999800001002142,27,5.158073478222803,5.476839247941572,0.0,11.508098415240319,27,10.037037037037036,10.617407627540008,0,21,27
CAG_A01,15.280396611051282,5.035641738870842,7.566443714472987,25.24631892384844,20,0.8984444920336502,0.28735389370777376,0.42138670247237775,1.3331496628596566,20,0.059868605064750426,0.01233701817802576,0.042693796838104044,0.09260898496401253,20,0.6307514381351352,0.3690322307534156,0.012362896000019719,0.9999800001002142,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0,0,20
CAN_A01,36.671328930996715,10.440704733177277,24.464597504044647,65.79791285836953,12,2.6018892759973906,1.0813828723653194,1.5471677041270113,5.652798753040371,12,0.07247676217686293,0.023550277874629766,0.039780181751967424,0.11867213839136935,12,0.41651502890845854,0.3703806089561198,0.044741138600011686,0.9999800001002142,12,0.48725761469945034,1.6879098900685354,0.0,5.847091376393404,12,1.0,3.4641016151377544,0,12,12
CAN_A02,37.55103196643693,7.275760625119679,18.6612894031815,51.52145692057534,24,1.6371804220052357,0.659218302086693,0.6439485861833171,2.831410167669757,24,0.047748119978954146,0.03013164960601018,0.016367391118405062,0.15172639502536409,24,0.41693785946682604,0.4085842084270697,0.004788010500130927,0.9999800001002142,24,5.90323555569296,6.0371294491855885,0.0,12.557766826065887,24,11.0,11.236586206015481,0,22,24
CAU_A01,42.64825738627839,15.917250718886967,23.66068904024492,71.03539828981634,40,0.46263343516079464,0.10440966324612404,0.29946658882550564,0.7483175408220739,40,0.011604997947356654,0.0025840379347359327,0.007576978673734029,0.01790478708565247,40,0.6119695642425625,0.3657966710340223,0.04955913599999686,1.0018707749991793,40,0.0,0.0,0.0,0.0,40,0.0,0.0,0,0,40
CON_A01,82.07354470756592,42.17488403162185,11.527158017268976,215.94059353727275,216,1.2820847462978746,0.4373870512441658,0.30943064923250296,2.96635284782683,216,0.019927193406084086,0.01832098658460442,0.005498528434577789,0.17843652880707625,216,0.22388802150332973,0.06754772466497037,0.00012110439999687605,0.2499900001001071,216,0.0,0.0,0.0,0.0,216,0.0,0.0,0,0,216
COT_A01,23.05773354768093,1.160671970889886,20.832934418846133,24.83270033751079,18,0.3937193848454765,0.03521133242230498,0.32736958286507856,0.4632120089378636,18,0.01709883174213398,0.00160568899550446,0.01537927213438476,0.021011005687677133,18,0.5709251139829479,0.3051943533027774,0.15508643220055648,1.0008500473986952,18,3.9083891842251557,0.24622626062315253,3.6577602267664466,4.648049361311488,18,21.27777777777778,2.080880909489326,19,29,18
DUC_A01,24.18219545406491,8.978507983796021,12.906463690316667,52.9974367652801,57,0.1489120449341692,0.12130599277148779,0.0,0.3821802776290896,57,0.007020713651076375,0.005070208348054181,0.0,0.015286082379683237,57,0.7759453501597192,0.5597506523826221,0.0023875928998973142,3.2306942819988285,57,5.31461184442757,5.624963561419323,0.0,13.4277733853764,57,15.0,13.289362018439517,0,39,57
FN1_A01,29.80774257958029,3.398885352242609,16.60545688593068,37.29073760155804,110,0.2457971838076841,0.03830064198467087,0.1527458951186131,0.3476532397338495,110,0.00830505074258007,0.0014683355901537194,0.005872605080152008,0.017143440646651138,110,0.1893149067954911,0.050519083395687246,0.0002125204999923862,0.21143788560010782,110,7.535612889239101,1.583546177148548,4.752091576897949,11.21620855766506,110,18.30909090909091,2.3373530647845815,14,27,110
FN2_A01,30.48395263372748,7.1748098467590795,18.218356643136023,57.78167485510781,152,0.3883340342123806,0.2173647389106181,0.17951998221184737,1.2136932908340134,152,0.01293833987869848,0.007273596299934498,0.006258052803089814,0.04709082199655106,152,0.20619610410928693,0.02171418124074529,0.06032391500001799,0.21013092030015224,152,4.670323947348599,3.4198915999225865,0.0,8.286220655816225,152,12.763157894736842,9.27414467743969,0,26,152
FN3_A01,16.260458417604102,7.8167304531454285,3.1601645336738042,53.176743974653014,262,0.4921449117699715,0.26438970561041364,0.07256623223514923,2.098085083899591,262,0.0343867238170155,0.028994311197331816,0.004596191726854892,0.28178030687938216,262,0.269972759978657,0.24572666769224646,5.5604999999923164e-05,0.9999800001002142,262,0.013987486495890922,0.09001135998099896,0.0,0.9718509167540493,262,0.1297709923664122,0.7868356195433409,0,5,262
FNA_A01,30.086402243405985,9.185046140163694,20.551130038623928,49.036267414849625,40,1.0928443690620564,0.7217842619462718,0.2842786855452222,3.1474037461437443,40,0.03926128704650428,0.030570201578355924,0.012294485700021002,0.13742750309889656,40,0.6000987757575238,0.32215141413512527,0.04536932100003933,1.0004100389997999,40,5.434335101366781,5.504132707675312,0.0,11.035283833407746,40,10.425,10.560903953151561,0,21,40
FNB_A01,24.90361640182398,10.407258241069856,8.155906593148359,43.02846010226365,21,1.1632230580070373,0.5695239824088492,0.4075176694301047,2.725068792584276,21,0.051925617873497074,0.032802440206588776,0.022564402753589195,0.1466755231608835,21,0.6124654335333396,0.39084073479320885,8.386560000265539e-05,1.0065504992989867,21,0.0,0.0,0.0,0.0,21,0.0,0.0,0,0,21
FNC_A01,14.636019424305655,0.15041662938700665,14.52965880566288,14.742380042948431,2,0.1698600303983291,0.004456007089288961,0.16670915756847754,0.17301090322818066,2,0.011607794099742063,0.0004237499399659884,0.01130815764366472,0.011907430555819404,2,0.3014633529001091,0.009167719887319806,0.2949807959997665,0.3079459098004517,2,13.110876233037919,0.011195551675204196,13.102959782529258,13.11879268354658,2,28.5,0.7071067811865476,28,29,2
FNC_A03,11.378526917449918,2.2904206338978597,8.86547041962476,13.573316733740175,4,0.1434667098103971,0.013312033223588492,0.1278708860859347,0.1567503368368275,4,0.012826861286883595,0.001449122390674859,0.01154841811413579,0.014423474450140566,4,0.33245534092504786,0.3861537373582829,0.023529642499975512,0.8432900539001825,4,11.743354323861613,1.368369049866547,10.176453716719035,12.902530812948843,4,23.75,3.774917217635374,20,27,4
FNC_A04,10.127895858705964,3.677071364865103,5.848406891981242,13.857366067347243,6,0.12339932459615255,0.13969493782051945,0.0,0.37798863395953486,6,0.013460730354384417,0.016661445499380825,0.0,0.0452131276861977,6,0.19666456648324462,0.33391802707695956,0.0003022008000033694,0.8557514424002006,6,12.694861856524673,0.8911000190173448,11.098934925404889,13.370989404820195,6,24.333333333333332,2.8047578623950176,20,27,6
FND_A01,7.59273608484673,0.9604240393379515,6.042525199740826,8.688086158781251,5,0.15954246518141668,0.022291402996138472,0.13137446686656465,0.19023512553838842,5,0.02124096243493491,0.0035712036057536077,0.01674450400762427,0.02483584899663143,5,0.5874228489801409,0.3173701193123018,0.042359608200058234,0.8213117868002904,5,13.18664641800583,0.36905073204338146,12.607753585535184,13.513195619699808,5,26.8,0.44721359549995765,26,27,5
FND_A02,9.206995828207926,2.149684941533267,6.505921000097701,11.21611941222355,4,0.10324087932907972,0.04015916995177025,0.06012258399227774,0.14224037280886195,4,0.011947140013244022,0.006336384749133121,0.006987954956742645,0.02032345970249694,4,0.26759843420000007,0.2934989659773998,0.02702811309987472,0.6753065585005592,4,13.34379392434078,0.6075694386353001,12.514711357927535,13.976903394699963,4,27.0,0.0,27,27,4
FND_A03,9.711155280212418,2.5515823691867094,5.5333909196805475,13.473452467699124,12,0.14218005683339352,0.03671105268094212,0.079488903062327,0.1961249224787951,12,0.014909174151843703,0.002697912029307152,0.010428270736024293,0.019710715196560643,12,0.5233682401335911,0.30231350825817893,0.004620194100121776,0.9999800001002142,12,12.875505101797932,0.7069728086740317,11.276314351295223,13.534425755220575,12,27.083333333333332,1.7816403745544238,22,29,12
FST_A01,21.46492748392991,7.641954010680761,11.136054354647337,33.57529150246533,20,0.31205025216696564,0.13920090534109172,0.1393651743272613,0.5250004999573866,20,0.014347843062215,0.0035542071273984583,0.008665702723930352,0.0243513882567137,20,0.6728135081200814,0.39065311279093734,0.0001483045000045253,0.9999800001002142,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0,0,20
FST_A01a,48.907506625546645,12.731829072118217,29.97378816557417,69.38843341396318,11,0.5800785759628864,0.2488529249078716,0.3363646010129513,0.9695892410636593,11,0.012985130136521483,0.006692979630960873,0.0053040390141086535,0.023095472808178558,11,0.3961642049271889,0.28217644075630205,0.08494655349984609,0.8200617993002485,11,9.116695228740987,0.9523690967186654,8.0450910472778,10.318068222424722,11,19.363636363636363,1.9116865471476892,17,21,11
FST_A01b,45.99007997854837,6.299481525644206,38.50773405469202,52.446561937052344,6,0.8812307359926091,0.10833098464429522,0.7579235171162573,1.0093638056445629,6,0.019279049492806444,0.002087893064033734,0.01715643337218244,0.023228912807403773,6,0.3289828113166748,0.27711782818686703,0.07188431279982618,0.807371926200185,6,9.586534366700105,0.5378807740403991,8.759779805801953,10.041604013139635,6,21.0,0.0,21,21,6
FST_A02,40.80530660816934,4.395156861421929,35.550371217428705,46.54411852200666,8,1.0040355863563093,0.1380144025794065,0.7953867586559853,1.1495609215273337,8,0.02486955889448269,0.004446553072664364,0.018063399095353826,0.03173261158758316,8,0.21677302836246548,0.18984741954098677,0.027090996999993042,0.4401655983000239,8,8.494564871298673,1.6446454633910121,6.686847520064962,10.195548034543958,8,18.625,3.3779748793788102,13,21,8
FST_A03,47.79331999961123,4.803535194257021,40.921146767862915,58.02687314142355,22,0.6438906535843917,0.2434844353632323,0.31235487767311404,1.0813736830862815,22,0.013727273199566858,0.005598561083443904,0.006078614875969919,0.025466042219118454,22,0.18356113450001238,0.1030665260670547,0.0035464787998412167,0.281467185300035,22,8.660445829738487,1.0035994669531807,7.6371604812433,10.273413126233333,22,18.863636363636363,2.076981659488791,16,21,22
FST_A04,34.38774726828134,13.585541613620665,19.194395079155168,52.903442626485656,12,0.7925767578123256,0.20870241654481836,0.5140660761509647,1.1708295046886332,12,0.024841584500248672,0.006247633969854143,0.016278359589717795,0.03427104273841659,12,0.2682306613083507,0.2731631696270319,0.003517057599943725,0.5903140968000807,12,8.514385015395947,1.6337301872191852,5.154212715389186,9.911900860868496,12,21.0,0.0,21,21,12
